cluster,var_name,rsquared,rsquared_next,clus_next,rsquared_ratio
Clus01,WOE_CNC_268,0.992122398,0.7712340371,Clus59,0.0344352013
Clus01,WOE_CNC_270,0.9892311693,0.761574155,Clus59,0.0451663733
Clus01,WOE_CNC_321,0.9894461689,0.776881469,Clus59,0.0473014546
Clus01,WOE_CNC_265,0.9886385063,0.76073542,Clus59,0.0474850634
Clus01,WOE_CNC_267,0.9888166768,0.7670361045,Clus59,0.048004534
Clus01,WOE_CNC_272,0.9883379815,0.7602945416,Clus59,0.0486514518
Clus01,WOE_CNC_297,0.9887415027,0.7769758874,Clus59,0.0504810765
Clus01,WOE_CNC_298,0.9887415027,0.7769758874,Clus59,0.0504810765
Clus01,WOE_CNC_269,0.9873888228,0.7585440873,Clus59,0.0522297302
Clus01,WOE_CNC_289,0.9868772257,0.7699796018,Clus59,0.0570504805
Clus01,WOE_CNC_295,0.9868600548,0.7801665418,Clus59,0.0597722715
Clus01,WOE_CNC_296,0.9868600548,0.7801665418,Clus59,0.0597722715
Clus01,WOE_CNC_322,0.9862798555,0.7786012021,Clus59,0.0619702754
Clus01,WOE_CNC_283,0.9841243378,0.7633044097,Clus59,0.0670720659
Clus01,WOE_CNC_290,0.9837910046,0.765729426,Clus59,0.0691892077
Clus01,WOE_CNC_299,0.9838651059,0.7780063308,Clus59,0.0726817756
Clus01,WOE_CNC_300,0.9838651059,0.7780063308,Clus59,0.0726817756
Clus01,WOE_CNC_043,0.9828876008,0.7718331956,Clus59,0.0749995129
Clus01,WOE_CNC_282,0.9820581497,0.7612493168,Clus59,0.0751488961
Clus01,WOE_CNC_320,0.9819709273,0.777497416,Clus59,0.0810285994
Clus01,WOE_KBS4_044,0.9810576104,0.7765461384,Clus59,0.0847709206
Clus01,WOE_CNC_301,0.9814009657,0.7818687511,Clus59,0.0852653364
Clus01,WOE_CNC_302,0.9814009657,0.7818687511,Clus59,0.0852653364
Clus01,WOE_CNC_271,0.9750486115,0.7483925783,Clus59,0.0991679354
Clus01,WOE_CNC_274,0.9732563506,0.7441295149,Clus59,0.1045202591
Clus01,WOE_CNC_273,0.9729971983,0.7437978102,Clus59,0.1053964516
Clus01,WOE_CNC_264,0.9710006016,0.7431893826,Clus59,0.1129213375
Clus01,WOE_CNC_288,0.9717422202,0.7555210618,Clus59,0.115583698
